Outcome,Week End,Age Group,Unvaccinated Rate,Vaccinated Rate,Boosted Rate,Crude Vaccinated Ratio,Crude Boosted Ratio,Age-Adjusted Unvaccinated Rate,Age-Adjusted Vaccinated Rate,Age-Adjusted Boosted Rate,Age-Adjusted Vaccinated Ratio,Age-Adjusted Boosted Ratio,Population Unvaccinated,Population Vaccinated,Population Boosted,Outcome Unvaccinated,Outcome Vaccinated,Outcome Boosted,Age Group Min,Age Group Max
Hospitalizations,02/05/2022,30-49,12.7,5.2,2.8,2.4,4.5,,,,,,142252,308500,286318,18,16,8,30,49
Deaths,08/26/2023,50-64,0.0,0.0,0.0,,,,,,,,32353,125723,246939,0,0,0,50,64
Deaths,03/12/2022,All,1.2,0.7,0.2,1.7,6.0,1.3,1.1,0.1,1.2,11.3,664996,907380,911102,8,6,2,999,999
Deaths,09/09/2023,80+,0.0,0.0,0.0,,,,,,,,24452,11380,47133,0,0,0,80,200
Hospitalizations,08/13/2022,12-17,5.6,1.1,0.0,5.1,,,,,,,35638,88571,41021,2,1,0,12,17
Hospitalizations,12/31/2022,5-11,0.0,1.2,0.0,0.0,,,,,,,92435,81534,21158,0,1,0,5,11
Deaths,07/30/2022,12-17,0.0,0.0,0.0,,,,,,,,35932,89736,39673,0,0,0,12,17
Hospitalizations,06/10/2023,All,2.2,0.6,2.7,3.7,0.8,3.3,0.7,2.0,5.0,1.7,534086,860351,1040691,12,5,28,999,999
Hospitalizations,06/10/2023,65-79,7.6,2.3,8.7,3.3,0.9,,,,,,39441,43434,171732,3,1,15,65,79
Cases,03/11/2023,All,101.2,60.1,80.2,1.7,1.3,120.6,62.1,80.3,1.9,1.5,543537,858035,1040472,550,516,834,999,999
Deaths,07/22/2023,50-64,0.0,0.0,0.0,,,,,,,,32565,125729,246933,0,0,0,50,64
Cases,02/19/2022,5-11,99.2,150.5,,0.7,,,,,,,107897,74396,,107,112,,5,11
Hospitalizations,04/08/2023,50-64,12.0,2.4,2.4,5.0,5.0,,,,,,33404,125694,246895,4,3,6,50,64
Hospitalizations,05/08/2021,All,19.6,2.6,,7.5,,26.2,1.6,,16.9,,1432023,822199,,280,21,,999,999
Cases,04/09/2022,18-29,178.2,72.9,191.3,2.4,0.9,,,,,,98229,219416,147442,175,160,282,18,29
Deaths,11/06/2021,12-17,0.0,0.0,,,,,,,,,63281,101846,,0,0,,12,17
Cases,09/03/2022,All,206.3,122.0,156.9,1.7,1.3,236.5,119.9,150.3,2.0,1.6,604544,842367,1030965,1247,1028,1618,999,999
Cases,03/04/2023,80+,109.4,140.6,152.8,0.8,0.7,,,,,,24686,11377,47125,27,16,72,80,200
Cases,07/08/2023,50-64,21.4,8.0,10.1,2.7,2.1,,,,,,32640,125730,246931,7,10,25,50,64
Hospitalizations,04/03/2021,18-29,7.0,0.0,,,,,,,,,385176,47882,,27,0,,18,29
Cases,09/11/2021,65-79,133.2,48.4,,2.8,,,,,,,64570,194208,,86,94,,65,79
Cases,05/06/2023,5-11,38.5,37.5,89.5,1.0,0.4,,,,,,90817,82677,21239,35,31,19,5,11
Hospitalizations,09/17/2022,65-79,24.4,20.7,16.3,1.2,1.5,,,,,,45164,43419,171309,11,9,28,65,79
Deaths,07/17/2021,65-79,2.8,0.0,,,,,,,,,71101,190176,,2,0,,65,79
Hospitalizations,06/25/2022,18-29,12.8,4.2,1.3,3.0,9.8,,,,,,94060,214919,155323,12,9,2,18,29
Cases,06/11/2022,All,264.7,176.5,269.3,1.5,1.0,303.0,167.2,241.1,1.8,1.3,640279,874417,979825,1695,1543,2639,999,999
Hospitalizations,05/29/2021,80+,48.9,4.1,,11.9,,,,,,,34769,48292,,17,2,,80,200
Hospitalizations,06/18/2022,18-29,2.1,4.2,0.6,0.5,3.5,,,,,,94340,215224,154755,2,9,1,18,29
Deaths,11/20/2021,30-49,1.6,0.0,0.0,,,,,,,,192730,502972,63876,3,0,0,30,49
Hospitalizations,04/02/2022,50-64,4.4,2.9,1.3,1.5,3.4,,,,,,45178,138856,227154,2,4,3,50,64
Cases,07/10/2021,50-64,20.5,6.6,,3.1,,,,,,,107073,304806,,22,20,,50,64
Hospitalizations,08/19/2023,5-11,1.1,0.0,0.0,,,,,,,,89655,82672,21262,1,0,0,5,11
Cases,06/04/2022,50-64,442.0,152.6,274.0,2.9,1.6,,,,,,42758,131758,237215,189,201,650,50,64
Hospitalizations,09/24/2022,18-29,7.9,2.8,1.2,2.8,6.6,,,,,,89038,211579,161435,7,6,2,18,29
Cases,10/30/2021,All,142.3,57.7,23.8,2.5,6.0,159.8,46.9,21.9,3.4,7.3,968843,1483650,92473,1379,856,22,999,999
Deaths,03/05/2022,65-79,4.1,5.6,0.6,0.7,6.8,,,,,,48917,54022,156028,2,3,1,65,79
Hospitalizations,06/25/2022,5-11,0.0,0.0,0.0,,,,,,,,99599,91151,5230,0,0,0,5,11
Cases,09/16/2023,0-4,35.7,1.2,,29.8,,,,,,,162642,,,58,2,,0,4
Deaths,04/22/2023,50-64,0.0,0.0,0.0,,,,,,,,33280,125718,246902,0,0,0,50,64
Cases,12/18/2021,30-49,1450.9,824.5,551.2,1.8,2.6,,,,,,176574,429933,147317,2562,3545,812,30,49
Deaths,06/04/2022,5-11,0.0,0.0,0.0,,,,,,,,100456,94553,895,0,0,0,5,11
Hospitalizations,04/08/2023,80+,12.2,8.8,31.8,1.4,0.4,,,,,,24622,11383,47126,3,1,15,80,200
Cases,09/16/2023,All,49.4,27.5,48.7,1.8,1.0,58.5,32.2,39.3,1.8,1.5,526492,860284,1040830,260,237,507,999,999
Cases,08/05/2023,80+,20.4,70.3,44.6,0.3,0.5,,,,,,24475,11382,47131,5,8,21,80,200
Hospitalizations,04/17/2021,18-29,10.4,3.1,,3.4,,,,,,,327658,65029,,34,2,,18,29
Deaths,06/03/2023,50-64,0.0,0.0,0.0,,,,,,,,32855,125745,246913,0,0,0,50,64
Deaths,01/01/2022,65-79,61.2,13.9,2.3,4.4,26.6,,,,,,52264,79022,127818,32,11,3,65,79
Hospitalizations,05/21/2022,All,10.9,6.4,8.6,1.7,1.3,12.6,9.1,5.9,1.4,2.1,644984,883996,965236,70,57,83,999,999
Deaths,01/28/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Hospitalizations,10/08/2022,5-11,2.1,0.0,0.0,,,,,,,,94508,81111,19812,2,0,0,5,11
Cases,08/05/2023,18-29,36.6,9.3,17.9,3.9,2.0,,,,,,73686,214134,161713,27,20,29,18,29
Cases,02/11/2023,30-49,129.4,56.5,85.5,2.3,1.5,,,,,,111258,277686,347246,144,157,297,30,49
Cases,08/26/2023,All,61.8,29.1,46.5,2.1,1.3,69.4,29.2,37.3,2.4,1.9,527758,860290,1040810,326,250,484,999,999
Hospitalizations,08/12/2023,50-64,12.3,3.2,2.8,3.8,4.4,,,,,,32441,125727,246935,4,4,7,50,64
Deaths,12/11/2021,All,5.8,1.0,1.3,5.8,4.5,8.5,1.1,0.6,7.4,15.0,847199,1247588,380994,49,13,5,999,999
Deaths,12/31/2022,5-11,0.0,0.0,0.0,,,,,,,,92435,81534,21158,0,0,0,5,11
Deaths,03/25/2023,50-64,0.0,0.0,0.0,,,,,,,,33548,125665,246890,0,0,0,50,64
Cases,06/19/2021,All,18.1,3.8,,4.8,,20.6,2.9,,7.0,,1238489,1241729,,224,47,,999,999
Hospitalizations,04/03/2021,50-64,39.7,3.0,,13.2,,,,,,,234356,66383,,93,2,,50,64
Cases,10/08/2022,80+,85.5,131.8,176.4,0.6,0.5,,,,,,25733,11377,47048,22,15,83,80,200
Cases,04/23/2022,5-11,129.9,263.6,,0.5,,,,,,,102360,92950,,133,245,,5,11
Cases,04/23/2022,50-64,221.0,77.9,155.4,2.8,1.4,,,,,,44338,136052,231012,98,106,359,50,64
Hospitalizations,09/30/2023,0-4,1.8,0.6,,3.0,,,,,,,162642,,,3,1,,0,4
Deaths,03/12/2022,65-79,6.1,0.0,0.6,,10.2,,,,,,48822,53213,157042,3,0,1,65,79
Hospitalizations,08/12/2023,65-79,7.6,9.2,7.0,0.8,1.1,,,,,,39237,43418,171751,3,4,12,65,79
Cases,09/25/2021,18-29,195.4,64.3,,3.0,,,,,,,178597,304724,,349,196,,18,29
Hospitalizations,03/18/2023,18-29,3.9,1.4,1.2,2.8,3.2,,,,,,76420,213693,161668,3,3,2,18,29
Cases,02/12/2022,80+,91.6,122.6,94.4,0.7,1.0,,,,,,27303,15497,41310,25,19,39,80,200
Hospitalizations,10/02/2021,50-64,39.2,4.8,,8.2,,,,,,,79080,330032,,31,16,,50,64
Deaths,01/29/2022,80+,116.5,83.9,22.5,1.4,5.2,,,,,,27458,16677,39936,32,14,9,80,200
Hospitalizations,03/26/2022,30-49,4.5,1.0,0.3,4.5,15.0,,,,,,133230,291909,322847,6,3,1,30,49
Cases,05/01/2021,0-4,58.4,,,,,,,,,,162642,,,95,,,0,4
Cases,04/08/2023,18-29,75.1,18.7,37.1,4.0,2.0,,,,,,75926,213911,161680,57,40,60,18,29
Deaths,09/16/2023,18-29,0.0,0.0,0.0,,,,,,,,73185,214126,161725,0,0,0,18,29
Hospitalizations,06/24/2023,80+,8.2,0.0,12.7,,0.6,,,,,,24509,11383,47130,2,0,6,80,200
Deaths,02/12/2022,5-11,0.0,0.0,,,,,,,,,109671,68864,,0,0,,5,11
Hospitalizations,11/20/2021,All,20.8,5.1,2.3,4.1,9.0,30.8,5.0,1.2,6.1,26.5,893891,1383374,221328,186,71,5,999,999
Cases,10/14/2023,18-29,47.7,14.0,17.9,3.4,2.7,,,,,,71300,214478,161898,34,30,29,18,29
Deaths,09/16/2023,80+,0.0,0.0,6.4,,0.0,,,,,,24446,11380,47134,0,0,3,80,200
Cases,10/29/2022,65-79,150.2,152.2,135.8,1.0,1.1,,,,,,42620,43357,171513,64,66,233,65,79
Hospitalizations,07/15/2023,All,1.3,0.2,0.9,6.5,1.4,1.6,0.3,0.7,4.7,2.4,531292,860318,1040757,7,2,9,999,999
Cases,09/23/2023,18-29,67.2,15.9,27.8,4.2,2.4,,,,,,72891,214123,161728,49,34,45,18,29
Hospitalizations,01/15/2022,50-64,308.9,50.5,20.9,6.1,14.8,,,,,,52767,184203,171854,163,93,36,50,64
Hospitalizations,06/19/2021,65-79,5.4,0.5,,10.8,,,,,,,74281,183897,,4,1,,65,79
Hospitalizations,03/25/2023,80+,36.5,70.3,59.4,0.5,0.6,,,,,,24648,11381,47126,9,8,28,80,200
Deaths,11/05/2022,All,0.7,0.2,0.3,3.5,2.3,0.8,0.4,0.2,1.9,4.4,573510,847144,1039435,4,2,3,999,999
Cases,09/09/2023,65-79,92.0,39.2,74.5,2.3,1.2,,,,,,39140,43415,171755,36,17,128,65,79
Hospitalizations,06/05/2021,All,7.3,0.7,,10.4,,9.8,0.5,,20.4,,1279034,1158544,,94,8,,999,999
Deaths,08/07/2021,30-49,1.5,0.0,,,,,,,,,260144,501004,,4,0,,30,49
Cases,04/29/2023,65-79,42.8,39.1,49.5,1.1,0.9,,,,,,39684,43437,171725,17,17,85,65,79
Cases,08/05/2023,5-11,8.9,2.4,4.7,3.7,1.9,,,,,,89877,82672,21260,8,2,1,5,11
Hospitalizations,07/29/2023,12-17,0.0,0.0,0.0,,,,,,,,32091,86577,44592,0,0,0,12,17
Cases,07/29/2023,5-11,2.2,2.4,28.2,0.9,0.1,,,,,,89972,82669,21260,2,2,6,5,11
Deaths,10/22/2022,30-49,0.0,0.0,0.0,,,,,,,,119057,276343,347017,0,0,0,30,49
Deaths,06/12/2021,12-17,0.0,0.0,,,,,,,,,118282,13905,,0,0,,12,17
Hospitalizations,12/04/2021,12-17,5.1,0.9,,5.7,,,,,,,58493,105452,,3,1,,12,17
Deaths,04/01/2023,80+,4.1,0.0,2.1,,2.0,,,,,,24634,11382,47126,1,0,1,80,200
Hospitalizations,01/08/2022,18-29,72.3,16.4,7.2,4.4,10.0,,,,,,128651,256042,83774,93,42,6,18,29
Hospitalizations,04/01/2023,50-64,17.9,3.2,4.5,5.6,4.0,,,,,,33477,125679,246893,6,4,11,50,64
Deaths,05/01/2021,65-79,9.2,0.7,,13.1,,,,,,,86807,152729,,8,1,,65,79
Cases,05/06/2023,65-79,30.3,25.3,32.6,1.2,0.9,,,,,,39631,43437,171727,12,11,56,65,79
Hospitalizations,11/20/2021,30-49,28.5,1.8,1.6,15.8,17.8,,,,,,192730,502972,63876,55,9,1,30,49
Cases,03/19/2022,30-49,77.0,27.7,72.9,2.8,1.1,,,,,,133820,292802,320838,103,81,234,30,49
Deaths,12/31/2022,18-29,0.0,0.0,0.0,,,,,,,,79293,212935,161619,0,0,0,18,29
Deaths,06/24/2023,30-49,0.0,0.0,0.0,,,,,,,,108055,278401,347307,0,0,0,30,49
Deaths,11/04/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Hospitalizations,04/02/2022,80+,7.4,0.0,6.9,,1.1,,,,,,27040,13879,43312,2,0,3,80,200
Hospitalizations,09/30/2023,50-64,21.9,2.4,2.8,9.1,7.8,,,,,,31939,125717,246950,7,3,7,50,64
Deaths,09/16/2023,All,0.0,0.0,0.4,,0.0,0.0,0.0,0.3,,0.0,526492,860284,1040830,0,0,4,999,999
Cases,12/03/2022,5-11,174.3,120.8,165.7,1.4,1.1,,,,,,92929,81116,21117,162,98,35,5,11
Deaths,04/01/2023,50-64,0.0,0.0,0.4,,0.0,,,,,,33477,125679,246893,0,0,1,50,64
Deaths,01/07/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Hospitalizations,04/22/2023,30-49,3.7,0.7,0.9,5.3,4.1,,,,,,109408,278312,347288,4,2,3,30,49
Deaths,03/12/2022,30-49,0.7,0.0,0.0,,,,,,,,134617,294114,317904,1,0,0,30,49
Cases,10/28/2023,80+,62.2,78.1,114.4,0.8,0.5,,,,,,24124,11521,47222,15,9,54,80,200
Hospitalizations,06/03/2023,0-4,1.2,0.0,,,,,,,,,162642,,,2,0,,0,4
Cases,07/23/2022,5-11,153.8,135.6,215.4,1.1,0.7,,,,,,98178,87751,9749,151,119,21,5,11
Hospitalizations,02/12/2022,30-49,12.9,5.3,3.4,2.4,3.8,,,,,,139578,302103,296569,18,16,10,30,49
Hospitalizations,05/21/2022,50-64,18.5,9.8,3.8,1.9,4.9,,,,,,43239,133132,235218,8,13,9,50,64
Cases,08/19/2023,80+,53.1,52.7,65.8,1.0,0.8,,,,,,24470,11380,47133,13,6,31,80,200
Hospitalizations,04/09/2022,80+,7.4,21.8,9.2,0.3,0.8,,,,,,26990,13754,43462,2,3,4,80,200
Cases,07/08/2023,18-29,20.2,7.9,4.3,2.6,4.7,,,,,,74160,214139,161703,15,17,7,18,29
Deaths,07/16/2022,50-64,0.0,0.0,0.8,,0.0,,,,,,41521,128806,241470,0,0,2,50,64
Hospitalizations,01/15/2022,5-11,2.4,2.0,,1.2,,,,,,,125146,50035,,3,1,,5,11
Cases,10/14/2023,65-79,49.5,36.8,55.8,1.3,0.9,,,,,,38416,43494,171905,19,16,96,65,79
Hospitalizations,10/23/2021,12-17,3.1,0.0,,,,,,,,,64979,99081,,2,0,,12,17
Cases,01/29/2022,5-11,398.9,546.5,,0.7,,,,,,,115323,59100,,460,323,,5,11
Hospitalizations,04/30/2022,50-64,13.6,6.7,3.4,2.0,4.0,,,,,,44059,135237,232184,6,9,8,50,64
Hospitalizations,04/24/2021,65-79,62.0,2.8,,22.1,,,,,,,90355,140945,,56,4,,65,79
Deaths,01/21/2023,12-17,0.0,0.0,0.0,,,,,,,,33470,86275,44545,0,0,0,12,17
Cases,05/13/2023,18-29,71.8,13.1,17.9,5.5,4.0,,,,,,75158,214134,161690,54,28,29,18,29
Cases,03/12/2022,50-64,67.3,22.5,31.0,3.0,2.2,,,,,,46039,142268,222350,31,32,69,50,64
Cases,08/06/2022,65-79,283.5,203.7,231.7,1.4,1.2,,,,,,45860,44684,169587,130,91,393,65,79
Hospitalizations,10/16/2021,12-17,3.0,0.0,,,,,,,,,65944,97454,,2,0,,12,17
Cases,02/04/2023,5-11,168.8,185.5,212.3,0.9,0.8,,,,,,91824,81940,21192,155,152,45,5,11
Deaths,04/03/2021,18-29,0.0,0.0,,,,,,,,,385176,47882,,0,0,,18,29
Cases,11/27/2021,65-79,213.5,81.5,20.9,2.6,10.2,,,,,,55747,122640,81384,119,100,17,65,79
Cases,12/10/2022,All,223.1,128.3,171.7,1.7,1.3,267.5,133.5,154.6,2.0,1.7,560620,851689,1039873,1251,1093,1785,999,999
Hospitalizations,11/27/2021,18-29,12.9,1.6,0.0,8.1,,,,,,,154874,305350,24726,20,5,0,18,29
Hospitalizations,03/11/2023,18-29,5.2,0.5,1.2,10.4,4.3,,,,,,76587,213618,161667,4,1,2,18,29
Deaths,08/13/2022,All,0.5,0.5,0.1,1.0,5.0,0.6,0.8,0.1,0.8,9.0,611563,848751,1018396,3,4,1,999,999
Hospitalizations,07/31/2021,80+,21.5,11.5,,1.9,,,,,,,32548,52348,,7,6,,80,200
Hospitalizations,12/03/2022,5-11,3.2,0.0,0.0,,,,,,,,92929,81116,21117,3,0,0,5,11
Cases,10/02/2021,80+,68.5,41.7,,1.6,,,,,,,30671,52751,,21,22,,80,200
Cases,07/29/2023,80+,8.2,96.6,42.4,0.1,0.2,,,,,,24479,11383,47130,2,11,20,80,200
Hospitalizations,04/29/2023,18-29,1.3,0.5,1.2,2.6,1.1,,,,,,75493,214091,161686,1,1,2,18,29
Deaths,05/08/2021,All,3.1,0.2,,15.5,,4.4,0.1,,33.2,,1432023,822199,,45,2,,999,999
Deaths,10/23/2021,50-64,5.4,0.9,0.0,6.0,,,,,,,74137,326932,13200,4,3,0,50,64
Hospitalizations,12/18/2021,12-17,16.0,1.9,0.0,8.4,,,,,,,56227,107530,554,9,2,0,12,17
Hospitalizations,02/04/2023,5-11,3.3,2.4,0.0,1.4,,,,,,,91824,81940,21192,3,2,0,5,11
Hospitalizations,08/07/2021,30-49,14.6,0.8,,18.2,,,,,,,260144,501004,,38,4,,30,49
Cases,03/26/2022,5-11,37.6,114.6,,0.3,,,,,,,103859,89867,,39,103,,5,11
Deaths,03/12/2022,18-29,1.0,0.0,0.0,,,,,,,,100487,221043,142046,1,0,0,18,29
Cases,04/15/2023,18-29,81.8,22.4,27.8,3.7,2.9,,,,,,75787,213968,161682,62,48,45,18,29
Cases,10/28/2023,30-49,55.6,21.9,28.7,2.5,1.9,,,,,,102493,279053,348149,57,61,100,30,49
Hospitalizations,10/14/2023,80+,28.8,35.1,36.0,0.8,0.8,,,,,,24292,11411,47164,7,4,17,80,200
Hospitalizations,05/22/2021,18-29,11.0,0.5,,22.0,,,,,,,254347,182708,,28,1,,18,29
Hospitalizations,02/04/2023,0-4,1.8,0.6,,3.0,,,,,,,162642,,,3,1,,0,4
Deaths,06/11/2022,80+,0.0,0.0,0.0,,,,,,,,26548,12467,45506,0,0,0,80,200
Cases,06/24/2023,All,14.1,4.9,12.9,2.9,1.1,16.6,5.0,9.6,3.3,1.7,532973,860337,1040720,75,42,134,999,999
Hospitalizations,11/12/2022,50-64,38.3,5.6,8.9,6.8,4.3,,,,,,36564,125287,246697,14,7,22,50,64
Hospitalizations,11/27/2021,30-49,25.8,1.2,1.2,21.5,21.5,,,,,,189760,487368,82444,49,6,1,30,49
Cases,11/11/2023,All,65.9,30.8,47.4,2.1,1.4,80.4,33.7,39.6,2.4,2.0,509670,862682,1045972,336,266,496,999,999
Deaths,12/25/2021,65-79,45.4,12.7,3.3,3.6,13.8,,,,,,52868,86648,119716,24,11,4,65,79
Deaths,05/08/2021,65-79,15.4,0.6,,25.7,,,,,,,84155,160587,,13,1,,65,79
Deaths,04/01/2023,12-17,0.0,0.0,0.0,,,,,,,,32922,86490,44568,0,0,0,12,17
Hospitalizations,06/17/2023,0-4,1.2,0.0,,,,,,,,,162642,,,2,0,,0,4
Deaths,02/12/2022,65-79,34.4,17.3,2.6,2.0,13.2,,,,,,49452,57654,151402,17,10,4,65,79
Deaths,05/22/2021,12-17,0.0,,,,,,,,,,136624,,,0,,,12,17
Hospitalizations,04/30/2022,12-17,0.0,1.1,3.0,0.0,0.0,,,,,,37619,94445,33365,0,1,1,12,17
Hospitalizations,04/15/2023,All,4.3,2.6,6.6,1.7,0.7,5.1,3.3,4.8,1.6,1.1,539653,859628,1040581,23,22,69,999,999
Cases,07/22/2023,65-79,30.5,20.7,30.3,1.5,1.0,,,,,,39318,43421,171748,12,9,52,65,79
Hospitalizations,08/26/2023,50-64,12.4,5.6,2.8,2.2,4.4,,,,,,32353,125723,246939,4,7,7,50,64
Cases,10/02/2021,5-11,131.6,,,,,,,,,,210448,,,277,,,5,11
Cases,05/06/2023,All,47.6,21.0,32.7,2.3,1.5,55.3,21.6,33.7,2.6,1.6,537432,860338,1040639,256,181,340,999,999
Deaths,12/31/2022,30-49,0.0,0.0,0.0,,,,,,,,113126,277262,347197,0,0,0,30,49
Hospitalizations,11/13/2021,5-11,1.7,,,,,,,,,,180456,,,3,,,5,11
Deaths,09/16/2023,30-49,0.0,0.0,0.0,,,,,,,,106807,278395,347325,0,0,0,30,49
Cases,04/30/2022,18-29,304.2,119.3,295.2,2.5,1.0,,,,,,96979,218010,150062,295,260,443,18,29
Deaths,06/03/2023,5-11,0.0,0.0,0.0,,,,,,,,90556,82682,21243,0,0,0,5,11
Cases,06/05/2021,All,35.9,5.4,,6.6,,39.8,4.1,,9.7,,1279034,1158544,,459,62,,999,999
Cases,04/17/2021,All,226.5,24.2,,9.4,,231.7,18.0,,12.8,,1616421,475163,,3661,115,,999,999
Cases,03/12/2022,65-79,45.1,24.4,32.5,1.8,1.4,,,,,,48822,53213,157042,22,13,51,65,79
Deaths,03/11/2023,80+,4.1,0.0,0.0,,,,,,,,24673,11378,47126,1,0,0,80,200
Cases,01/08/2022,5-11,2075.2,1841.8,,1.1,,,,,,,132228,46476,,2744,856,,5,11
Cases,12/24/2022,30-49,234.4,114.0,147.5,2.1,1.6,,,,,,113497,277193,347177,266,316,512,30,49
Cases,09/23/2023,65-79,105.1,66.8,58.8,1.6,1.8,,,,,,39028,43414,171758,41,29,101,65,79
Cases,11/25/2023,5-11,15.9,9.8,17.8,1.6,0.9,,,,,,88264,81816,22441,14,8,4,5,11
Deaths,11/11/2023,5-11,0.0,0.0,0.0,,,,,,,,88571,82151,21989,0,0,0,5,11
Hospitalizations,05/14/2022,50-64,18.4,9.0,4.7,2.0,3.9,,,,,,43533,133809,234246,8,12,11,50,64
Cases,11/25/2023,30-49,79.3,31.9,33.8,2.5,2.3,,,,,,99562,279385,349175,79,89,118,30,49
Deaths,12/31/2022,50-64,0.0,0.8,0.4,0.0,0.0,,,,,,34879,125419,246812,0,1,1,50,64
Cases,08/06/2022,80+,155.9,213.0,244.9,0.7,0.6,,,,,,26292,11735,46545,41,25,114,80,200
Deaths,10/23/2021,All,2.0,0.6,0.0,3.3,,3.1,0.5,0.0,6.2,,978761,1496643,68441,20,9,0,999,999
Cases,12/03/2022,12-17,223.8,80.1,87.6,2.8,2.6,,,,,,33965,86108,44513,76,69,39,12,17
Hospitalizations,08/19/2023,65-79,17.9,9.2,8.7,1.9,2.1,,,,,,39214,43417,171752,7,4,15,65,79
Deaths,10/21/2023,12-17,0.0,0.0,0.0,,,,,,,,31619,86566,44615,0,0,0,12,17
Deaths,12/04/2021,All,3.7,0.5,0.0,7.4,,5.4,0.6,0.0,9.3,,864337,1287028,333146,32,6,0,999,999
Hospitalizations,05/29/2021,All,11.6,1.3,,8.9,,15.7,0.8,,18.8,,1302037,1094752,,151,14,,999,999
Cases,03/26/2022,80+,7.4,21.3,30.2,0.3,0.2,,,,,,27071,14053,43109,2,3,13,80,200
Hospitalizations,10/16/2021,18-29,7.6,0.0,,,,,,,,,170186,312457,,13,0,,18,29
Deaths,07/09/2022,18-29,0.0,0.0,0.0,,,,,,,,93482,214304,156355,0,0,0,18,29
Deaths,06/10/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,08/13/2022,50-64,469.6,144.4,212.4,3.3,2.2,,,,,,40677,126700,244360,191,183,519,50,64
Cases,07/15/2023,65-79,28.0,16.1,12.8,1.7,2.2,,,,,,39336,43424,171745,11,7,22,65,79
Hospitalizations,09/10/2022,12-17,5.7,0.0,0.0,,,,,,,,35208,85939,44085,2,0,0,12,17
Hospitalizations,07/16/2022,5-11,1.0,0.0,0.0,,,,,,,,98597,88329,8887,1,0,0,5,11
Hospitalizations,09/02/2023,80+,12.3,52.7,36.1,0.2,0.3,,,,,,24460,11380,47133,3,6,17,80,200
Deaths,07/29/2023,12-17,0.0,0.0,0.0,,,,,,,,32091,86577,44592,0,0,0,12,17
Cases,08/26/2023,18-29,87.2,29.9,25.4,2.9,3.4,,,,,,73401,214130,161720,64,64,41,18,29
Hospitalizations,01/15/2022,65-79,311.9,170.5,42.1,1.8,7.4,,,,,,50970,69775,137780,159,119,58,65,79
Cases,12/03/2022,18-29,303.7,94.5,110.2,3.2,2.8,,,,,,81009,212601,161582,246,201,178,18,29
Cases,07/02/2022,5-11,69.5,83.3,151.3,0.8,0.5,,,,,,99299,90057,6610,69,75,10,5,11
Hospitalizations,10/22/2022,12-17,0.0,1.2,2.2,0.0,0.0,,,,,,34553,85923,44472,0,1,1,12,17
Deaths,09/02/2023,80+,0.0,0.0,2.1,,0.0,,,,,,24460,11380,47133,0,0,1,80,200
Deaths,03/11/2023,5-11,0.0,0.0,0.0,,,,,,,,91381,82312,21210,0,0,0,5,11
Hospitalizations,03/12/2022,65-79,14.3,9.4,3.8,1.5,3.8,,,,,,48822,53213,157042,7,5,6,65,79
Hospitalizations,09/25/2021,30-49,22.0,1.1,,20.0,,,,,,,223214,528608,,49,6,,30,49
Hospitalizations,11/04/2023,All,5.5,2.3,4.5,2.4,1.2,7.8,3.8,3.2,2.0,2.4,512405,862552,1044756,28,20,47,999,999
Deaths,12/11/2021,50-64,17.6,1.2,1.1,14.7,16.0,,,,,,62340,258308,92192,11,3,1,50,64
Hospitalizations,05/01/2021,30-49,25.7,0.8,,32.1,,,,,,,365119,238588,,94,2,,30,49
Cases,01/21/2023,12-17,164.3,67.2,71.8,2.4,2.3,,,,,,33470,86275,44545,55,58,32,12,17
Hospitalizations,10/30/2021,80+,33.5,17.4,0.0,1.9,,,,,,,29835,46071,8679,10,8,0,80,200
Hospitalizations,08/06/2022,50-64,31.8,11.8,9.0,2.7,3.5,,,,,,40870,127180,243708,13,15,22,50,64
Cases,09/24/2022,50-64,266.4,61.5,105.5,4.3,2.5,,,,,,39417,125139,246539,105,77,260,50,64
Cases,06/12/2021,12-17,20.3,0.0,,,,,,,,,118282,13905,,24,0,,12,17
Cases,11/19/2022,12-17,172.7,74.4,76.4,2.3,2.3,,,,,,34157,86027,44509,59,64,34,12,17
Deaths,01/29/2022,50-64,40.2,4.8,2.1,8.4,19.1,,,,,,49696,165132,193153,20,8,4,50,64
Deaths,12/10/2022,5-11,0.0,0.0,0.0,,,,,,,,92766,81208,21125,0,0,0,5,11
Cases,08/07/2021,12-17,142.6,20.7,,6.9,,,,,,,89733,67504,,128,14,,12,17
Cases,02/26/2022,80+,66.2,47.2,14.2,1.4,4.7,,,,,,27200,14818,42125,18,7,6,80,200
Cases,05/07/2022,65-79,184.8,103.5,186.8,1.8,1.0,,,,,,47611,49260,162746,88,51,304,65,79
Hospitalizations,05/15/2021,30-49,22.7,0.9,,25.2,,,,,,,338871,332283,,77,3,,30,49
Hospitalizations,09/03/2022,30-49,9.6,5.1,3.2,1.9,3.0,,,,,,125170,276368,345994,12,14,11,30,49
Deaths,12/24/2022,65-79,4.9,0.0,1.2,,4.1,,,,,,40797,43362,171663,2,0,2,65,79
